Fornavn,Efternavn,Initialer,Afdeling,Password,Email
Anders,Hansen,ANHA,IT,Anders123,ANHA@enterprise.03C.gf2
Maria,Nielsen,MANI,Administration,Maria123,MANI@enterprise.03C.gf2
Peter,Jensen,PEJE,Salg,Peter123,PEJE@enterprise.03C.gf2
Lars,Andersen,LAAN,Produktion,Lars123,LAAN@enterprise.03C.gf2
Anna,Sorensen,ANSO,Ledelse,Anna123,ANSO@enterprise.03C.gf2
Mette,Kristensen,MEKR,Administration,Mette123,MEKR@enterprise.03C.gf2
Soren,Rasmussen,SORA,Salg,Soren123,SORA@enterprise.03C.gf2
Camilla,Petersen,CAPE,Produktion,Camilla123,CAPE@enterprise.03C.gf2
Thomas,Madsen,THMA,IT,Thomas123,THMA@enterprise.03C.gf2
Jens,Olsen,JEOL,Administration,Jens123,JEOL@enterprise.03C.gf2
Line,Thomsen,LITH,Salg,Line123,LITH@enterprise.03C.gf2
Kim,Mortensen,KIMO,Produktion,Kim123,KIMO@enterprise.03C.gf2
Niels,Christiansen,NECH,Ledelse,Niels123,NECH@enterprise.03C.gf2
Katrine,Jakobsen,KAJA,Administration,Katrine123,KAJA@enterprise.03C.gf2
Henrik,Johansen,HEJO,Salg,Henrik123,HEJO@enterprise.03C.gf2
Pia,Lauritzen,PILA,Produktion,Pia123,PILA@enterprise.03C.gf2
Martin,Poulsen,MAPO,IT,Martin123,MAPO@enterprise.03C.gf2
Birgitte,Holm,BIHO,Administration,Birgitte123,BIHO@enterprise.03C.gf2
Ole,Iversen,OLIV,Salg,Ole123,OLIV@enterprise.03C.gf2
Emilie,Frederiksen,EMFR,Produktion,Emilie123,EMFR@enterprise.03C.gf2
Rasmus,Berg,RABE,Ledelse,Rasmus123,RABE@enterprise.03C.gf2
Louise,Carstensen,LOCA,Administration,Louise123,LOCA@enterprise.03C.gf2
Jan,Skov,JASK,Salg,Jan123,JASK@enterprise.03C.gf2
Stine,Beck,STBE,Produktion,Stine123,STBE@enterprise.03C.gf2
Michael,Moeller,MIMO,IT,Michael123,MIMO@enterprise.03C.gf2
Cecilie,Nygaard,CENY,Administration,Cecilie123,CENY@enterprise.03C.gf2
Frederik,Dahl,FRDA,Salg,Frederik123,FRDA@enterprise.03C.gf2
Helene,Lange,HELA,Produktion,Helene123,HELA@enterprise.03C.gf2
Victor,Sorensen,VISO,Ledelse,Victor123,VISO@enterprise.03C.gf2
Tobias,Hogh,TOHO,IT,Tobias123,TOHO@enterprise.03C.gf2
